,Id,LotFrontage,LotArea,OverallQual,YearBuilt,ExterQual,BsmtQual,TotalBsmtSF,GrLivArea,AllBathNum,TotRmsAbvGrd,SalePrice
86,87,122.0,11911,6,2005,Gd,Gd,684,1560,2.5,6,174000
87,88,40.0,3951,6,2009,Gd,Gd,612,1224,2.5,4,164500
88,89,105.0,8470,3,1915,Fa,TA,1013,1526,1.0,6,85000
89,90,60.0,8070,4,1994,TA,Gd,990,990,2.0,5,123600
90,91,60.0,7200,4,1950,TA,,0,1040,1.0,4,109900
91,92,85.0,8500,5,1961,TA,TA,1235,1235,1.0,6,98600
92,93,80.0,13360,5,1921,TA,Gd,876,964,2.0,5,163500
93,94,60.0,7200,6,1910,TA,TA,1214,2291,2.5,9,133900
94,95,69.0,9337,6,1997,TA,Gd,824,1786,3.5,7,204750
95,96,70.04995836802665,9765,6,1993,Ex,Gd,680,1470,2.5,6,185000
96,97,78.0,10264,7,1999,Gd,Gd,1588,1588,2.0,6,214000
97,98,73.0,10921,4,1965,TA,TA,960,960,2.0,6,94750
98,99,85.0,10625,5,1920,TA,TA,458,835,1.0,5,83000
99,100,77.0,9320,4,1959,TA,TA,950,1225,2.5,6,128950
100,101,70.04995836802665,10603,6,1977,TA,TA,1610,1610,3.0,6,205000
101,102,77.0,9206,6,1985,Gd,Gd,741,1732,2.5,7,178000
102,103,64.0,7018,5,1979,TA,,0,1535,2.0,8,118964
103,104,94.0,10402,7,2009,TA,Gd,1226,1226,2.0,6,198900
104,105,70.04995836802665,7758,7,1931,TA,TA,1040,1818,1.5,7,169500
105,106,75.0,9375,8,2003,Gd,Ex,1053,1992,2.5,9,250000
106,107,60.0,10800,4,1885,TA,Fa,641,1047,1.0,6,100000
107,108,50.0,6000,5,1948,TA,TA,789,789,1.0,5,115000
108,109,85.0,8500,5,1919,TA,TA,793,1517,2.0,7,115000
109,110,105.0,11751,6,1977,TA,Gd,1844,1844,2.0,7,190000
110,111,75.0,9525,6,1954,TA,TA,994,1855,2.0,7,136900
111,112,70.04995836802665,7750,7,2000,TA,Gd,384,1430,2.5,7,180000
112,113,77.0,9965,7,2007,Gd,Ex,1264,2696,3.5,10,383970
113,114,70.04995836802665,21000,6,1953,TA,Gd,1809,2259,3.0,7,217000
114,115,61.0,7259,6,1945,TA,TA,1028,2320,3.5,9,259500
115,116,34.0,3230,6,1999,TA,Gd,729,1458,2.5,5,176000
116,117,70.04995836802665,11616,5,1962,TA,TA,1092,1092,1.5,6,139000
117,118,74.0,8536,5,2006,TA,Gd,1125,1125,1.5,5,155000
118,119,90.0,12376,7,1990,TA,Gd,1673,3222,4.0,11,320000
119,120,65.0,8461,6,2005,Gd,Gd,728,1456,2.5,8,163990
120,121,70.04995836802665,21453,6,1969,TA,TA,938,988,2.0,4,180000
121,122,50.0,6060,4,1939,TA,TA,732,1123,1.0,4,100000
122,123,75.0,9464,6,1958,TA,TA,1080,1080,1.0,5,136000
123,124,55.0,7892,6,1993,Gd,Gd,1199,1199,2.0,5,153900
124,125,48.0,17043,6,1979,TA,Gd,1362,1586,2.0,7,181000
125,126,60.0,6780,6,1935,TA,TA,520,754,2.0,5,84500
126,127,70.04995836802665,4928,6,1976,TA,Gd,1078,958,2.0,5,128000
127,128,55.0,4388,5,1930,TA,TA,672,840,1.0,5,87000
128,129,69.0,7590,6,1966,TA,TA,660,1348,1.5,6,155000
129,130,69.0,8973,5,1958,TA,TA,1008,1053,2.0,6,150000
130,131,88.0,14200,7,1966,TA,TA,924,2157,2.5,8,226000
131,132,70.04995836802665,12224,6,2000,Gd,Gd,992,2054,3.5,7,244000
132,133,75.0,7388,5,1959,TA,TA,1063,1327,2.0,7,150750
133,134,70.04995836802665,6853,8,2001,Gd,Ex,1267,1296,3.0,6,220000
134,135,78.0,10335,5,1968,TA,TA,1461,1721,2.5,7,180000
135,136,80.0,10400,7,1970,TA,TA,1304,1682,2.0,7,174000
136,137,70.04995836802665,10355,5,1967,TA,TA,1214,1214,2.0,5,143000
137,138,82.0,11070,7,1988,TA,TA,1907,1959,3.0,9,171000
138,139,73.0,9066,8,1999,Gd,Gd,1004,1852,2.5,7,230000
139,140,65.0,15426,6,1997,TA,Gd,928,1764,3.5,7,231500
140,141,70.0,10500,4,1971,TA,TA,864,864,1.0,5,115000
141,142,78.0,11645,7,2005,Gd,Gd,1734,1734,3.0,7,260000
142,143,71.0,8520,5,1952,TA,TA,910,1385,2.0,6,166000
143,144,78.0,10335,7,1999,Gd,Gd,1490,1501,3.0,6,204000
144,145,70.0,9100,5,1963,TA,TA,1728,1728,3.0,10,125000
145,146,24.0,2522,6,2004,Gd,Gd,970,1709,2.0,7,130000
146,147,51.0,6120,5,1931,TA,TA,715,875,2.0,5,105000
147,148,70.04995836802665,9505,7,2001,Gd,Gd,884,2035,2.5,8,222500
148,149,63.0,7500,7,2004,TA,Gd,1080,1080,2.0,6,141000
149,150,70.04995836802665,6240,5,1936,TA,Gd,896,1344,1.0,7,115000
150,151,120.0,10356,5,1975,TA,TA,969,969,1.5,5,122000
151,152,107.0,13891,8,2007,Gd,Ex,1710,1710,3.0,6,372402
152,153,70.04995836802665,14803,6,1971,TA,TA,825,1993,2.5,8,190000
153,154,70.04995836802665,13500,6,1960,TA,Gd,1602,1252,2.0,4,235000
154,155,84.0,11340,6,1923,TA,TA,1200,1200,1.0,7,125000
155,156,60.0,9600,6,1924,TA,TA,572,1096,1.0,5,79000
156,157,60.0,7200,5,1950,TA,,0,1040,1.0,5,109500
157,158,92.0,12003,8,2009,Gd,Ex,774,1968,2.5,8,269500
158,159,100.0,12552,7,2004,Gd,Gd,991,1947,2.5,8,254900
159,160,134.0,19378,7,2005,Gd,Gd,1392,2462,3.5,9,320000
160,161,70.04995836802665,11120,6,1984,TA,Gd,1232,1232,2.0,6,162500
161,162,110.0,13688,9,2003,Gd,Ex,1572,2668,3.5,10,412500
162,163,95.0,12182,7,2005,Gd,Gd,1541,1541,2.0,7,220000
163,164,55.0,5500,4,1956,TA,TA,882,882,1.0,4,103200
164,165,40.0,5400,6,1926,TA,TA,1149,1616,2.0,5,152000
165,166,62.0,10106,5,1940,TA,TA,644,1355,3.0,6,127500
166,167,70.04995836802665,10708,5,1955,Gd,TA,1617,1867,2.0,7,190000
167,168,86.0,10562,8,2007,Gd,Ex,1582,2161,2.5,8,325624
168,169,62.0,8244,7,2004,Gd,Gd,840,1720,2.5,7,183500
169,170,70.04995836802665,16669,8,1981,Gd,Gd,1686,1707,2.5,6,228000
170,171,70.04995836802665,12358,5,1941,TA,TA,720,1382,1.5,7,128500
171,172,141.0,31770,6,1960,TA,TA,1080,1656,2.0,7,215000
172,173,44.0,5306,7,1987,Gd,Gd,1064,1767,3.0,5,239000
173,174,80.0,10197,6,1961,TA,TA,1362,1362,2.5,6,163000
174,175,47.0,12416,6,1986,TA,Gd,1606,1651,3.0,7,184000
175,176,84.0,12615,6,1950,TA,TA,1202,2158,3.0,7,243000
176,177,97.0,10029,6,1988,Gd,Gd,1151,2060,3.0,8,211000
177,178,70.04995836802665,13650,5,1958,Gd,TA,1052,1920,3.0,8,172500
178,179,63.0,17423,9,2008,Ex,Ex,2216,2234,3.0,9,501837
179,180,60.0,8520,5,1923,Gd,TA,968,968,1.0,5,100000
180,181,70.04995836802665,2117,6,2000,Gd,Gd,756,1525,2.5,5,177000
181,182,54.0,7588,7,1920,TA,Fa,793,1802,1.5,9,200100
182,183,60.0,9060,5,1957,TA,,0,1340,1.0,7,120000
183,184,63.0,11426,7,2003,TA,Gd,1362,2082,2.5,6,200000
184,185,92.0,7438,5,1908,TA,Fa,504,1252,1.0,5,127000
185,186,90.0,22950,10,1892,Gd,TA,1107,3608,2.5,12,475000
186,187,70.04995836802665,9947,7,1990,TA,Gd,1188,1217,3.0,6,173000
187,188,60.0,10410,5,1916,TA,Fa,660,1656,2.5,8,135000
188,189,64.0,7018,5,1979,TA,Gd,1086,1224,3.0,6,153337
189,190,41.0,4923,8,2001,Gd,Ex,1593,1593,2.5,5,286000
190,191,70.0,10570,8,1932,Gd,Gd,853,2727,2.5,10,315000
191,192,70.04995836802665,7472,7,1972,TA,TA,725,1479,2.5,7,184000
192,193,68.0,9017,7,1999,Gd,Gd,1431,1431,3.0,6,192000
193,194,24.0,2522,7,2004,Gd,Gd,970,1709,2.0,7,130000
194,195,60.0,7180,5,1972,TA,TA,864,864,1.0,5,127000
195,196,24.0,2280,6,1976,TA,Gd,855,1456,2.5,7,148500
196,197,79.0,9416,7,2007,Ex,Ex,1726,1726,3.0,8,311872
197,198,174.0,25419,8,1918,Gd,TA,1360,3112,3.5,8,235000
198,199,92.0,5520,6,1912,TA,TA,755,2229,1.0,8,104000
199,200,76.0,9591,8,2004,Gd,Ex,1713,1713,3.0,7,274900
200,201,80.0,8546,4,2003,TA,Gd,1121,1121,2.0,5,140000
201,202,75.0,10125,6,1977,TA,TA,1196,1279,2.5,6,171500
202,203,50.0,7000,6,1924,TA,Fa,617,1310,2.0,6,112000
203,204,70.04995836802665,4438,6,2004,Gd,Gd,848,848,2.0,3,149000
204,205,50.0,3500,5,1947,TA,TA,720,1284,1.5,5,110000
205,206,99.0,11851,7,1990,TA,Gd,1424,1442,2.0,5,180500
206,207,40.0,13673,5,1962,TA,TA,1140,1696,1.5,8,143900
207,208,70.04995836802665,12493,4,1960,TA,TA,1100,1100,2.0,6,141000
208,209,70.04995836802665,14364,7,1988,Gd,Gd,1157,2062,3.5,7,277000
209,210,75.0,8250,6,1964,TA,Gd,1092,1092,2.0,6,145000
210,211,67.0,5604,5,1925,TA,TA,864,864,2.0,5,98000
211,212,83.0,10420,6,2009,TA,Gd,1212,1212,2.0,6,186000
212,213,72.0,8640,7,2009,TA,Gd,900,1852,3.5,7,252678
213,214,43.0,13568,5,1995,TA,Gd,990,990,1.5,5,156000
214,215,70.04995836802665,10900,6,1977,TA,Gd,689,1392,1.5,6,161750
215,216,72.0,10011,5,1957,TA,TA,1070,1236,1.5,6,134450
216,217,65.0,8450,7,2004,Gd,Gd,1436,1436,3.0,8,210000
217,218,57.0,9906,4,1925,TA,TA,686,1328,1.0,8,107000
218,219,70.04995836802665,15660,7,1939,Gd,TA,798,1954,2.0,8,311500
219,220,43.0,3010,7,2005,Gd,Gd,1248,1248,2.0,5,167240
220,221,73.0,8990,7,2006,Gd,Gd,1498,1498,2.0,5,204900
221,222,70.04995836802665,8068,6,2002,Gd,Gd,1010,2267,2.5,8,200000
222,223,85.0,11475,6,1975,TA,Gd,713,1552,3.5,6,179900
223,224,70.0,10500,4,1971,TA,TA,864,864,1.0,4,97000
224,225,103.0,13472,10,2003,Ex,Ex,2392,2392,2.0,8,386250
225,226,21.0,1680,5,1971,TA,TA,630,1302,2.5,6,112000
226,227,82.0,9950,7,1995,Gd,Gd,1203,2520,2.5,9,290000
227,228,21.0,1869,6,1970,TA,TA,483,987,1.5,5,106000
228,229,70.0,8521,5,1967,TA,TA,912,912,1.0,5,125000
229,230,43.0,3182,7,2005,Gd,Gd,1373,1555,2.0,7,192500
230,231,73.0,8760,6,1959,TA,TA,1194,1194,2.0,6,148000
231,232,174.0,15138,8,1995,Gd,Gd,1462,2794,3.5,9,403000
232,233,21.0,1680,6,1972,TA,TA,483,987,1.5,5,94500
233,234,75.0,10650,5,1976,TA,TA,894,894,2.0,5,128200
234,235,70.04995836802665,7851,6,2002,Gd,Gd,860,1960,3.5,8,216500
235,236,21.0,1680,6,1971,TA,TA,483,987,1.5,5,89500
236,237,65.0,8773,7,2004,Gd,Gd,1414,1414,2.0,6,185500
237,238,70.04995836802665,9453,7,1993,Gd,Gd,996,1744,2.5,7,194500
238,239,93.0,12030,8,2007,Ex,Ex,1694,1694,2.0,7,318000
239,240,52.0,8741,6,1945,TA,TA,735,1487,1.5,7,113000
240,241,75.0,9000,8,2008,Gd,Gd,1566,1566,3.0,7,262500
241,242,40.0,3880,5,1945,TA,TA,686,866,1.0,4,110500
242,243,63.0,5000,5,1900,TA,TA,540,1440,1.0,6,79000
243,244,75.0,10762,6,1980,TA,Gd,626,1217,1.5,6,120000
244,245,70.04995836802665,8880,7,1994,Gd,Gd,948,2110,3.5,8,205000
245,246,80.0,10400,7,1988,TA,Gd,1845,1872,2.5,6,241500
246,247,69.0,9142,6,1910,TA,Fa,1020,1928,2.0,9,137000
247,248,75.0,11310,6,1954,TA,TA,1367,1375,1.0,5,140000
248,249,72.0,11317,7,2003,Gd,Gd,840,1668,2.5,8,180000
249,250,70.04995836802665,159000,6,1958,Gd,Gd,1444,2144,2.5,7,277000
250,251,55.0,5350,3,1940,TA,TA,728,1306,1.0,6,76500
251,252,44.0,4750,8,2006,Gd,Gd,1573,1625,3.5,5,235000
252,253,65.0,8366,6,2004,Gd,Gd,798,1640,2.5,6,173000
253,254,85.0,9350,6,1964,TA,Gd,1302,1302,2.5,7,158000
254,255,70.0,8400,5,1957,TA,TA,1314,1314,2.0,5,145000
255,256,66.0,8738,7,1999,Gd,Gd,975,2291,2.5,8,230000
256,257,64.0,8791,6,2003,Gd,Gd,864,1728,2.5,7,207500
257,258,68.0,8814,7,2006,Gd,Gd,1604,1604,3.5,8,220000
258,259,80.0,12435,7,2001,Gd,Gd,963,1792,2.5,7,231500
259,260,70.0,12702,5,1956,TA,,0,882,1.0,4,97000
260,261,120.0,19296,6,1962,TA,TA,1362,1382,2.0,6,176000
261,262,69.0,9588,8,2007,Gd,Ex,1482,2574,2.5,10,276000
262,263,88.0,8471,6,1977,TA,Gd,506,1212,2.0,6,151000
263,264,50.0,5500,5,1929,TA,TA,926,1316,2.0,6,130000
264,265,30.0,5232,5,1925,TA,Fa,680,764,1.0,4,73000
265,266,78.0,12090,6,1981,TA,Gd,1422,1422,2.0,7,175500
266,267,70.0,11207,6,1997,TA,Gd,802,1511,3.5,8,185000
267,268,60.0,8400,5,1939,TA,TA,720,2192,2.5,8,179500
268,269,71.0,6900,5,1940,TA,TA,740,778,1.0,4,120500
269,270,70.04995836802665,7917,6,1976,TA,TA,1143,1113,2.5,6,148000
270,271,84.0,10728,8,2006,Gd,Gd,1095,1939,2.5,8,266000
271,272,73.0,39104,7,1954,TA,Gd,1385,1363,2.0,5,241500
272,273,92.0,11764,8,1999,Gd,Gd,1152,2270,2.5,9,290000
273,274,80.0,9600,6,1958,TA,TA,1240,1632,3.0,6,139000
274,275,76.0,8314,5,1982,TA,TA,816,816,1.0,5,124500
275,276,55.0,7264,7,1925,Gd,TA,952,1548,2.5,5,205000
276,277,129.0,9196,7,2003,Gd,Ex,1560,1560,2.0,7,201000
277,278,140.0,19138,4,1951,TA,TA,864,864,1.0,4,141000
278,279,107.0,14450,9,2006,Ex,Ex,2121,2121,2.5,8,415298
279,280,83.0,10005,7,1977,TA,Gd,1160,2022,2.5,8,192000
280,281,82.0,11287,7,1989,Gd,Gd,807,1982,2.5,7,228500
281,282,60.0,7200,6,2006,Gd,Gd,1262,1262,2.0,5,185000
282,283,34.0,5063,7,2007,Gd,Gd,1314,1314,3.0,6,207500
283,284,74.0,9612,8,2008,Gd,Gd,1468,1468,2.0,6,244600
284,285,50.0,8012,6,1992,Gd,Gd,1575,1575,3.0,5,179200
285,286,35.0,4251,7,2006,Gd,Gd,625,1250,2.5,5,164700
286,287,77.0,9786,6,1962,TA,TA,912,1734,1.5,7,159000
287,288,70.04995836802665,8125,4,1971,TA,TA,858,858,1.0,5,88000
288,289,70.04995836802665,9819,5,1967,TA,TA,882,900,1.0,5,122000
289,290,60.0,8730,6,1915,TA,TA,698,1396,1.0,7,153575
290,291,120.0,15611,8,2006,Gd,Gd,1079,1919,2.5,8,233230
291,292,55.0,5687,5,1912,TA,TA,780,1716,3.0,9,135900
292,293,60.0,11409,5,1949,TA,TA,768,1716,1.5,8,131000
293,294,70.04995836802665,16659,7,1977,TA,TA,795,2263,3.5,9,235000
294,295,80.0,9600,6,1953,TA,TA,1416,1644,2.0,7,167000
295,296,37.0,7937,6,1984,TA,TA,1003,1003,2.0,6,142500
296,297,75.0,13710,5,1950,TA,TA,910,1558,1.5,6,152000
297,298,66.0,7399,7,1997,Gd,Gd,975,1950,2.5,7,239000
298,299,90.0,11700,6,1968,Gd,TA,702,1743,2.5,7,175000
299,300,80.0,14000,6,1950,TA,TA,1092,1152,1.5,6,158500
300,301,90.0,15750,5,1953,TA,TA,1165,1336,2.0,5,157000
301,302,66.0,16226,8,1998,Gd,Gd,1028,2452,2.5,9,267000
302,303,118.0,13704,7,2001,Gd,Gd,1541,1541,2.0,6,205000
303,304,70.0,9800,5,1972,TA,TA,894,894,2.0,5,149900
304,305,87.0,18386,7,1880,TA,TA,1470,3493,3.0,10,295000
305,306,80.0,10386,8,2004,Gd,Gd,2000,2000,3.0,8,305900
306,307,116.0,13474,7,1990,Gd,Gd,700,2243,3.5,8,225000
307,308,70.04995836802665,7920,6,1920,TA,TA,319,1406,1.0,6,89500
308,309,70.04995836802665,12342,4,1940,TA,TA,861,861,1.0,4,82500
309,310,90.0,12378,9,2003,Gd,Ex,1896,1944,3.0,8,360000
310,311,70.04995836802665,7685,6,1993,TA,Gd,697,1501,2.5,6,165600
311,312,50.0,8000,6,1948,TA,TA,972,972,2.0,5,132000
312,313,65.0,7800,5,1939,TA,Gd,793,1118,2.0,5,119900
313,314,150.0,215245,7,1965,TA,Gd,2136,2036,4.0,8,375000
314,315,60.0,9600,7,1925,TA,TA,728,1641,2.0,6,178000
315,316,71.0,7795,7,2004,Gd,Gd,716,1432,3.5,6,188500
316,317,94.0,13005,7,1980,Gd,Gd,845,2353,3.5,10,260000
317,318,75.0,9000,8,2006,Gd,Gd,1088,1959,2.5,8,270000
318,319,90.0,9900,7,1993,Gd,Gd,1347,2646,3.5,9,260000
319,320,70.04995836802665,14115,7,1980,TA,Gd,1372,1472,3.0,6,187500
320,321,111.0,16259,9,2006,TA,Ex,1249,2596,3.5,9,342643
321,322,99.0,12099,8,2004,Gd,Ex,1136,2468,3.5,10,354000
322,323,86.0,10380,7,1986,Gd,TA,1502,2730,3.5,8,301000
323,324,49.0,5820,3,1955,TA,TA,1162,1163,2.0,6,126175
324,325,96.0,11275,7,1967,Gd,Gd,710,2978,2.5,11,242000
325,326,50.0,5000,5,1941,TA,TA,720,803,1.0,5,87000
326,327,32.0,10846,8,1993,Gd,Gd,1719,1719,3.5,6,324000
327,328,80.0,11600,6,1960,TA,TA,1383,1383,1.5,7,145250
328,329,70.04995836802665,11888,6,1916,TA,TA,844,2134,2.0,10,214500
329,330,60.0,6402,5,1920,TA,TA,596,1192,1.0,6,78000
330,331,70.04995836802665,10624,5,1964,TA,TA,1728,1728,2.5,10,119000
331,332,70.0,8176,5,1958,TA,TA,1056,1056,2.0,6,139000
332,333,85.0,10655,8,2003,Gd,Gd,3206,1629,3.0,7,284000
333,334,59.0,8198,7,2004,Gd,Gd,1358,1358,3.0,6,207000
334,335,59.0,9042,6,1998,TA,Gd,943,1638,3.5,7,192000
335,336,70.04995836802665,164660,5,1965,TA,TA,1499,1786,4.0,7,228950
336,337,86.0,14157,9,2005,Gd,Ex,1922,1922,3.0,8,377426
337,338,70.0,9135,7,2002,Gd,Gd,1536,1536,3.0,7,214000
338,339,91.0,14145,7,1984,Gd,Gd,1208,1621,3.0,8,202500
339,340,66.0,12400,6,1958,TA,TA,1215,1215,1.0,6,155000
340,341,85.0,14191,8,2002,Gd,Gd,967,1908,2.5,9,202900
341,342,60.0,8400,4,1950,Fa,TA,721,841,1.0,4,82000
342,343,70.04995836802665,8544,3,1949,TA,,0,1040,2.0,6,87500
343,344,63.0,8849,9,2005,Ex,Ex,1684,1684,2.0,6,266000
344,345,36.0,2592,5,1976,TA,Gd,536,1112,1.5,4,85000
345,346,65.0,6435,6,1939,TA,TA,972,1577,1.0,6,140200
346,347,70.04995836802665,12772,6,1960,TA,TA,958,958,1.0,5,151500
347,348,70.04995836802665,17600,6,1960,TA,TA,1478,1478,3.0,6,157500
348,349,36.0,2448,7,2003,Gd,Gd,764,1626,3.5,6,154000
349,350,56.0,20431,9,2005,Ex,Ex,1848,2728,3.5,10,437154
350,351,68.0,7820,9,2007,Ex,Ex,1869,1869,2.0,6,318061
351,352,70.04995836802665,5271,7,1986,TA,Gd,1453,1453,2.5,6,190000
352,353,60.0,9084,5,1941,TA,TA,616,1111,1.5,5,95000
353,354,60.0,8520,6,1928,TA,TA,624,720,1.0,5,105900
354,355,60.0,8400,6,1940,TA,TA,940,1595,1.0,6,140000
355,356,105.0,11249,6,1995,Gd,Gd,1200,1200,3.0,6,177500
356,357,70.04995836802665,9248,6,1992,TA,Gd,1158,1167,3.0,6,173000
357,358,44.0,4224,5,1976,TA,Gd,1142,1142,2.5,6,134000
358,359,92.0,6930,5,1958,TA,TA,1062,1352,1.5,6,130000
359,360,78.0,12011,8,1998,Gd,Gd,1086,1924,3.5,7,280000
360,361,70.04995836802665,7540,6,1978,TA,Gd,888,912,2.0,5,156000
361,362,70.04995836802665,9144,5,1940,TA,TA,883,1505,2.0,8,145000
362,363,64.0,7301,7,2003,Gd,,0,1922,3.0,7,198500
363,364,21.0,1680,6,1972,TA,TA,483,987,1.5,5,118000
